#,,base_ranges,,,,,cevent_inhand_child,,,,,,,,,cevent_eye_roi_child,,,,,,,,,,,,cont_vision_size_obj#_child,
#,,,,,,,individual_prop_by_cat,,,individual_mean_dur_by_cat,,,individual_freq_by_cat,,,individual_prop_by_cat,,,,individual_mean_dur_by_cat,,,,individual_freq_by_cat,,,,individual_mean,individual_median
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#subID,expID,onset,offset,category,trialsID,instanceID,cat-1,cat-2,cat-3,cat-1,cat-2,cat-3,cat-1,cat-2,cat-3,cat-1,cat-2,cat-3,cat-4,cat-1,cat-2,cat-3,cat-4,cat-1,cat-2,cat-3,cat-4,cat-all,cat-all
3201,32,30,122.33,1,1,1,0.36718,0.16986,1.2013,6.7801,2.6137,11.091,3.2494,3.8992,6.4987,0.28768,0.26455,0.15685,0.1142,1.5623,1.8788,2.8962,1.5063,11.048,8.4484,3.2494,4.5491,3.3624,3.2589
3201,32,136.07,201,2,2,2,0.067831,0.43165,0.99229,2.2022,5.6056,12.886,1.8481,4.6202,4.6202,0.24409,0.37821,0.24255,0.025694,1.4408,3.0697,1.4317,0.55611,10.165,7.3924,10.165,2.7721,3.2177,3.1906
3201,32,213.42,283.05,3,3,3,0.28988,0,1.2832,5.0466,0,8.9356,3.4465,0,8.6162,0.16483,0.013416,0.59655,0.13273,1.2753,0.46713,5.1927,1.8485,7.7546,1.7232,6.893,4.3081,4.1854,4.0972
3201,32,290.66,364.4,4,4,4,0.066968,0.83032,0.76018,2.4691,8.7468,4.6713,1.6273,5.6957,9.764,0.20905,0.33439,0.2276,0.087783,3.0831,1.6439,0.9324,1.0789,4.0683,12.205,14.646,4.882,2.5767,2.5523
3202,32,30,118.36,1,1,1,0.16994,0.0075529,0.70053,3.7538,0.66733,8.8422,2.7163,0.67908,4.7535,0.14147,0.058853,0.54364,0.086771,3.125,1.04,5.337,1.5333,2.7163,3.3954,6.1117,3.3954,3.8771,3.9873
3202,32,207.38,295.07,2,2,2,0,0.13014,0.48782,0,5.7057,4.7529,0,1.3685,6.1582,0.02851,0.14939,0.39458,0.033452,2.5,4.3667,17.3,0.73333,0.68425,2.0527,1.3685,2.737,2.0656,2.0421
3202,32,303.04,389.29,3,3,3,0.16325,0.88433,0.20774,7.0404,76.276,1.6289,1.3913,0.69563,7.6519,0.1062,0.058356,0.42704,0.22453,2.2901,2.5167,7.3667,2.7667,2.7825,1.3913,3.4781,4.8694,3.5511,3.755
3202,32,401.17,463.53,4,4,4,0.22258,0.10379,0.46549,3.4701,2.1576,9.6763,3.8485,2.8864,2.8864,0.10316,0.11492,0.36561,0.058189,1.2867,1.7917,2.5333,0.90721,4.8106,3.8485,8.6591,3.8485,3.126,3.0413
3203,32,30,120.36,1,1,1,0.99963,0.043944,0.15436,90.324,3.9706,1.2679,0.66403,0.66403,7.3044,0.11263,0.21233,0.28508,0.22157,2.5442,9.5929,3.6799,2.2245,2.6561,1.3281,4.6482,5.9763,4.0038,4.1767
3203,32,136.27,255.69,2,2,2,0.44789,0.11735,0.86113,6.6858,3.5035,102.84,4.0194,2.0097,0.50243,0.32523,0.23051,0.228,0.11484,3.2366,2.7528,3.0252,2.2856,6.0292,5.0243,4.5219,3.0146,3.9065,3.8256
3203,32,270.41,400.54,3,3,3,0.42436,0.048974,0.65077,11.044,2.1243,7.0571,2.3054,1.3832,5.5329,0.34769,0.12513,0.38436,0.10974,3.0163,3.2566,3.8474,2.0401,6.9162,2.3054,5.994,3.2275,3.8294,3.7714
3203,32,417.05,520.49,4,4,4,0.13516,0.3929,0.48129,1.9972,5.8058,12.446,4.0605,4.0605,2.3203,0.20226,0.25193,0.33161,0.059032,2.6151,3.2574,3.8112,1.5265,4.6405,4.6405,5.2206,2.3203,3.3826,3.5193
3204,32,30,142.58,1,1,1,0.28927,0.29016,0.069057,8.1415,6.5332,1.9436,2.1318,2.6648,2.1318,0.10848,0.12211,0.13308,0.12359,0.4697,0.4296,0.49939,0.77299,13.857,17.055,15.989,9.5932,2.3163,2.615
3204,32,158.76,241.71,2,2,2,0.072006,0.19992,0.12148,0.42663,4.1458,10.077,10.127,2.8933,0.72333,0.30491,0.2317,0.062349,0.30008,6.323,2.7456,1.293,2.7657,2.8933,5.0633,2.8933,6.51,2.2135,2.1547
3204,32,295.8,383.92,3,3,3,0.21923,0.078383,0.078758,4.8298,3.4536,0.99147,2.7235,1.3618,4.7661,0.045059,0.076486,0.29875,0.27528,0.99266,2.2467,5.2653,1.866,2.7235,2.0426,3.4044,8.8514,2.4608,2.6798
3204,32,400.07,495.53,4,4,4,0.036001,0.089475,0.28417,0.34368,1.4236,27.128,6.2852,3.7711,0.62852,0.21041,0.2188,0.083188,0.11674,1.826,1.8989,1.5883,1.2383,6.9137,6.9137,3.1426,5.6567,2.2003,2.2022
3205,32,30,156.79,1,1,1,0.18079,0,0.85237,5.7307,0,3.8598,1.8928,0,13.25,0.077632,0.096843,0.50553,0.077632,0.82026,1.0233,5.3414,0.82026,5.6785,5.6785,5.6785,5.6785,3.9907,4.2184
3205,32,173.28,266.34,2,2,2,0.091072,0.40839,0.14665,1.2107,5.4292,4.549,4.5132,4.5132,1.9342,0.30333,0.26389,0.12155,0.044819,2.1714,2.7286,0.8701,1.0427,8.3817,5.8027,8.3817,2.579,2.9709,2.7311
3205,32,279.68,366.24,3,3,3,0.056669,0,0.2286,1.635,0,2.8266,2.0796,0,4.8525,0.088281,0.02313,0.38088,0.080185,1.2735,0.33367,2.9969,1.3881,4.1593,4.1593,7.6254,3.4661,3.1426,3.0064
3205,32,372.88,453.42,4,4,4,0.70754,0.073322,0.024441,7.1238,1.9686,1.9686,5.9592,2.2347,0.7449,0.24275,0.31234,0.073736,0.11889,3.2588,2.5158,1.1879,0.87057,4.4694,7.449,3.7245,8.194,2.5614,2.1618
3206,32,30,119.32,1,1,1,0.2783,0.036982,0.26223,12.429,1.6517,0.68893,1.3434,1.3434,22.839,0.12813,0.069107,0.67352,0.061263,1.2716,1.0288,5.4691,1.368,6.0455,4.0303,7.3889,2.6869,4.0984,4.1481
3206,32,161.43,256.63,2,2,2,0,0.84893,0.022082,0,13.469,0.26276,0,3.7817,5.0423,0.021732,0.18998,0.2089,0.035401,0.68958,3.0141,1.5297,1.685,1.8909,3.7817,8.1937,1.2606,2.089,2.0752
3206,32,292.9,454.82,3,3,3,0.065526,0.11766,0.22646,3.5369,2.3815,1.3582,1.1116,2.9643,10.004,0.054193,0.14548,0.24068,0.03503,1.2536,1.5705,4.3303,1.1345,2.5937,5.558,3.3348,1.8527,3.6797,4.088
3206,32,469.44,576.51,4,4,4,0.089124,0.34871,0.31411,1.5905,3.3943,2.5871,3.3622,6.164,7.2847,0.19071,0.3914,0.19788,0.029916,2.5526,2.9935,2.6485,0.64064,4.4829,7.8451,4.4829,2.8018,2.4824,2.5231
3207,32,30,120.66,1,1,1,0.12367,0.048583,0.23261,2.2422,1.1011,1.1099,3.3092,2.6473,12.575,0.089805,0.20169,0.38903,0.038277,1.0177,1.6623,3.9187,3.4701,5.2947,7.2802,5.9565,0.66183,3.5035,3.6617
3207,32,131.37,198.23,2,2,2,0.46507,0.067365,0.42415,15.549,4.5045,7.0904,1.7946,0.89731,3.5892,0.26048,0.23703,0.24002,0.033932,1.0886,1.5849,2.2928,0.75631,14.357,8.9731,6.2811,2.6919,3.2626,3.3785
3207,32,208.75,265.04,3,3,3,0.030824,0.15531,0.43509,0.86753,4.371,4.8982,2.1318,2.1318,5.3296,0.16301,0.12211,0.33195,0.17605,1.3108,3.4368,3.1142,1.982,7.4614,2.1318,6.3955,5.3296,4.8418,4.7731
3207,32,277.11,352.79,4,4,4,0.095238,0.4612,0,3.6036,8.7254,0,1.5857,3.1714,0,0.23854,0.33598,0.071429,0.067019,3.6103,4.2375,1.3514,1.0143,3.9643,4.7571,3.1714,3.9643,2.1022,1.9356
3208,32,30,132.77,1,1,1,1.1276,0.061039,0.35422,23.176,1.5682,2.4269,2.9192,2.3353,8.7575,0.1763,0.1237,0.42922,0.15812,2.2648,4.2376,4.4111,2.0312,4.6706,1.7515,5.8383,4.6706,4.1561,3.9853
3208,32,143.08,223.06,2,2,2,0.054234,0.99458,0.29161,1.4459,5.6819,3.8872,2.2506,10.503,4.5011,0.065498,0.32624,0.17438,0.32708,1.0477,2.3721,1.9925,2.18,3.7509,8.2521,5.2513,9.0023,3.6599,3.5579
3208,32,321.99,399.44,3,3,3,1.2417,0.13098,0.065058,9.6163,1.0143,2.5192,7.7475,7.7475,1.5495,0.20465,0.1564,0.23567,0.18354,1.9811,4.0374,2.6074,2.369,6.198,2.3243,5.4233,4.6485,4.2975,4.3499
3208,32,491.73,518.62,4,4,4,0,0.27543,0.2866,0,2.4691,3.8539,0,6.6931,4.462,0.13399,0.40941,0.23573,0.074442,0.6006,1.8351,1.5849,1.001,13.386,13.386,8.9241,4.462,2.3386,2.1613
3209,32,30,161.16,1,1,1,0.89545,0.015263,0.34113,6.5251,1.001,4.4745,8.2339,0.91488,4.5744,0.25617,0.094124,0.44009,0.063851,3.0546,2.0576,5.7724,1.675,5.0318,2.7446,4.5744,2.2872,4.8132,5.1767
3209,32,174.88,267.54,2,2,2,0.78538,0.62585,0.15592,6.0644,14.498,4.8159,7.7704,2.5901,1.9426,0.33525,0.26467,0.11883,0.23407,4.4378,2.4524,3.6703,1.9717,4.5327,6.4753,1.9426,7.1229,4.5231,4.6061
