#,,,cevent_inhand_child,,,,,,,,,cevent_eye_roi_child,,,,,,,,,,,,cont_vision_size_obj#_child,
#,,,prop_by_cat,,,mean_dur_by_cat,,,freq_by_cat,,,prop_by_cat,,,,mean_dur_by_cat,,,,freq_by_cat,,,,mean,median
#,,,,,,,,,,,,,,,,,,,,,,,,,
#subID,expID,instanceID,cat-1,cat-2,cat-3,cat-1,cat-2,cat-3,cat-1,cat-2,cat-3,cat-1,cat-2,cat-3,cat-4,cat-1,cat-2,cat-3,cat-4,cat-1,cat-2,cat-3,cat-4,cat-all,cat-all
3201,32,1,0.21099,0.34906,1.0669,4.8792,5.8299,8.669,2.5945,3.5924,7.3844,0.23052,0.24806,0.29456,0.092897,1.6501,1.9625,2.1084,1.3299,8.3823,7.584,8.3823,4.1911,3.3291,3.1968
3202,32,2,0.13237,0.29208,0.46701,4.2976,13.547,5.0539,1.8481,1.2937,5.5443,0.094233,0.093945,0.4382,0.10348,2.1853,2.1786,5.6907,1.6798,2.5873,2.5873,4.6202,3.6962,3.1569,3.2562
3203,32,3,0.48047,0.14661,0.56672,10.143,4.3332,8.9733,2.842,2.03,3.7894,0.2598,0.20087,0.3097,0.12207,2.9534,3.5622,3.6133,2.0816,5.2781,3.3834,5.1427,3.5187,3.7815,3.8102
3204,32,4,0.16168,0.17066,0.13695,1.9155,3.8058,3.9938,5.0645,2.6905,2.0574,0.16238,0.15983,0.14355,0.19574,1.368,1.1433,1.2368,1.5144,7.1219,8.388,6.9636,7.755,2.2982,2.3482
3205,32,5,0.2411,0.11348,0.37079,4.2406,4.391,3.6789,3.4113,1.5506,6.0472,0.16866,0.16539,0.29542,0.0789,1.7639,1.7296,2.7882,0.95408,5.7371,5.7371,6.3574,4.9618,3.2582,3.0586
3206,32,6,0.099249,0.30981,0.2113,4.092,5.204,1.1686,1.4553,3.5721,10.848,0.094173,0.19784,0.30915,0.039067,1.5818,2.1884,3.4197,1.1074,3.5721,5.4242,5.4242,2.1168,3.1456,3.3414
3207,32,7,0.17704,0.18154,0.25542,4.6592,4.7775,2.6407,2.2799,2.2799,5.8033,0.18234,0.22948,0.26049,0.071577,1.4663,2.2908,2.9003,1.4801,7.4614,6.0106,5.3888,2.9017,3.3417,3.4049
3208,32,8,0.75372,0.36006,0.25244,12.021,3.3345,2.8989,3.7619,6.4789,5.2249,0.14912,0.21571,0.28789,0.20421,1.5855,2.6925,2.9518,2.0938,5.6429,4.8069,5.8519,5.8519,3.8857,3.8578
3209,32,9,0.52512,0.38502,0.19564,6.0551,11.416,2.195,5.2034,2.0235,5.3479,0.23993,0.15288,0.29893,0.1192,3.0182,2.4409,4.4318,1.6494,4.7698,3.758,4.0471,4.3361,3.8104,4.1134
3210,32,10,0.42892,0.73248,0.29176,12.908,16.243,7.6827,1.9937,2.7058,2.2785,0,0,0,0,0,0,0,0,0,0,0,0,1.5113,1.2087
3211,32,11,0.63566,0.2374,0.41377,11.972,4.7064,3.247,3.1858,3.0265,7.6458,0.20471,0.17495,0.31792,0.076092,1.6763,1.6897,2.5479,1.3649,7.3272,6.2122,7.4865,3.345,2.4968,2.3974
3212,32,12,0.25155,0.15141,0.048957,7.5436,4.1914,1.2584,2.0008,2.1675,2.3342,0.15475,0.18544,0.19193,0.1516,1.6379,2.0222,1.5349,2.0205,5.6689,5.5021,7.5029,4.5018,2.979,2.9043
3213,32,13,0.17851,0.20808,0.49965,4.2413,3.2959,3.957,2.5254,3.788,7.5761,0.11516,0.23703,0.2453,0.14426,1.1453,2.2036,2.057,1.2097,6.0328,6.4537,7.1552,7.1552,2.9846,2.8765
3214,32,14,0.047795,0.26583,0.21303,3.028,2.6947,2.5708,0.94704,5.919,4.972,0.14602,0.21475,0.11745,0.14799,2.1767,2.2675,2.4803,1.4425,4.0249,5.6823,2.8411,6.1558,2.3479,2.3345
3215,32,15,0.13634,0.32004,0.24208,2.8871,5.1505,3.2466,2.8335,3.7282,4.4739,0.19481,0.17125,0.23138,0.24001,1.7039,1.8622,2.165,1.8219,6.8599,5.5178,6.4126,7.9038,2.8232,2.6844
3216,32,16,0.14848,0.42207,0.27289,4.0278,5.3431,5.1819,2.2118,4.7396,3.1597,0,0,0,0,0,0,0,0,0,0,0,0,2.4427,2.7091
3217,32,17,0.37765,0.57543,0.097811,7.6009,7.2385,0.70308,2.9811,4.7698,8.3471,0,0,0,0,0,0,0,0,0,0,0,0,3.946,3.8266
3218,32,18,0.19251,0.19016,0.14089,5.6412,2.3218,2.3819,2.0476,4.9142,3.5492,0.14697,0.21514,0.22174,0.060275,2.2275,2.955,2.8666,1.6558,3.9587,4.3682,4.6412,2.1841,1.7335,1.7199
3219,32,19,0.55142,0.041268,0.23243,5.3501,1.824,1.2494,6.184,1.3575,11.161,0,0,0,0,0,0,0,0,0,0,0,0,3.0276,3.1109
3220,32,20,0.4015,0.23974,0.30777,4.2479,3.2467,2.6718,5.671,4.4304,6.9115,0.18509,0.1844,0.22172,0.1274,1.7407,1.1149,1.5013,1.027,6.3798,9.9242,8.8609,7.4431,2.1629,2.3498
