#more(on1;_on2;_2)_&_less(on1;_on2;_5),/multi-lib/demo_results/extract_pairs_files/case1/cevent_eye_roi_child.csv,,,,,
#onset,offset,cat,index,trialid
31.533,53.767,20,1,1
54.9,56.667,25,2,1
59.867,61,6,3,1
61.167,61.9,10,4,1
61.967,67.133,6,5,1
67.167,70.133,10,6,1
70.167,75.3,6,7,1
75.3,75.867,10,8,1
75.9,76.6,24,9,1
76.633,77.867,10,10,1
79.867,81.6,18,11,1
81.667,82.267,15,12,1
84.067,85.7,18,13,1
85.833,91.4,10,14,1
91.433,95.433,6,15,1
95.433,97.267,10,16,1
98.467,99.133,9,18,1
100.6,102.6,6,19,1
102.6,102.8,10,20,1
103.57,104.9,2,21,1
105.8,110.17,23,22,1
110.37,113.67,15,23,1
113.73,115.2,23,24,1
115.23,119.4,15,25,1
119.4,119.77,23,26,1
119.8,120.77,15,27,1
123.57,131.67,15,28,1
131.73,133.73,23,29,1
133.73,135.63,15,30,1
136,136.4,10,31,1
136.47,138.47,15,32,1
138.53,138.9,10,33,1
138.97,140.2,15,34,1
143.43,145.87,13,35,1
146.03,146.3,14,36,1
147.17,150.73,20,37,1
150.8,151.73,13,38,1
151.8,152.97,23,39,1
153.03,154.13,20,40,1
154.3,155.47,3,41,1
155.53,155.77,13,42,1
155.87,179.2,20,43,1
179.33,181.83,15,44,1
183.27,185.77,15,45,1
185.9,186.63,2,46,1
186.7,188.03,9,47,1
188.2,191.8,14,48,1
191.9,192.3,10,49,1
197.97,201.97,14,50,1
202.4,203.17,3,51,1
211.3,213.03,18,52,1
213.9,227.03,18,53,1
227.1,228.2,23,54,1
229.1,229.37,13,55,1
229.43,232.5,15,56,1
232.63,234.63,9,57,1
234.63,236.3,15,58,1
236.33,237,21,59,1
237.07,239.5,12,60,1
240.13,240.97,17,61,1
241.53,244.1,21,62,1
244.1,244.7,18,63,1
244.73,249.4,21,64,1
249.5,250.57,13,65,1
250.63,251.07,21,66,1
251.13,251.47,13,67,1
251.5,252.17,21,68,1
252.2,252.8,18,69,1
252.87,253.5,21,70,1
253.9,254.4,15,71,1
254.97,260.8,21,72,1
260.9,262,23,73,1
262.07,263,11,74,1
263.03,263.33,15,75,1
263.4,264.17,22,76,1
264.23,265.07,18,77,1
265.13,267.2,22,78,1
267.33,268.07,24,79,1
268.23,269.97,22,80,1
270.07,272.47,24,81,1
272.53,273.7,3,82,1
273.77,274.5,10,83,1
278.1,280.1,8,84,1
280.47,284,24,85,1
287.8,289.8,17,86,1
289.8,290.1,8,87,1
291.5,293.5,14,88,1
293.5,293.7,22,89,1
294.63,296.3,22,90,1
296.33,296.6,17,91,1
300.97,309.8,24,92,1
312,313.1,17,93,1
314.87,315.13,17,94,1
315.8,318.43,17,95,1
319.63,322.17,22,96,1
322.27,323.73,14,97,1
323.8,325.8,22,98,1
326.5,327.3,22,99,1
329.5,330.33,24,100,1
331.33,333.5,22,101,1
334.47,336.47,17,102,1
336.47,340.47,22,103,1
342.4,342.63,21,104,1
342.67,344.13,13,105,1
345.13,345.37,21,106,1
346.3,348.8,17,107,1
348.83,349.77,24,108,1
349.93,350.8,8,109,1
350.9,351.2,22,110,1
352,354.43,24,111,1
354.8,355.5,22,112,1
355.53,357.53,17,113,1
358.13,358.93,24,114,1
359,362.03,17,115,1
362.43,362.83,13,116,1
363.5,363.83,2,117,1
367.43,368.8,25,118,1
372.27,372.93,13,119,1
372.97,374.67,9,120,1
375.5,376.3,9,121,1
376.7,381.63,2,122,1
381.67,382.4,18,123,1
383.63,389.43,2,124,1
389.43,391.43,9,125,1
392.37,392.93,3,126,1
393,393.47,14,127,1
395.53,395.77,5,128,1
396.4,398.4,5,129,1
398.4,398.6,21,130,1
398.63,399.03,14,131,1
399.3,401.07,5,132,1
401.1,401.9,2,133,1
402.07,406.9,5,134,1
408.33,409.3,5,136,1
411.27,411.93,21,137,1
411.97,412.27,14,138,1
413.87,414.13,14,139,1
415.43,415.83,25,140,1
416.53,418.53,2,141,1
422.53,426.4,2,142,1
426.77,432.07,3,143,1
432.1,433.43,14,144,1
434.63,436.5,4,145,1
436.73,438.77,22,146,1
441.77,444.47,10,147,1
444.53,446.9,23,148,1
447.23,448.23,3,149,1
448.3,450.73,4,150,1
451.23,451.47,3,151,1
451.77,452.83,13,152,1
453.07,454.03,2,153,1
455,455.67,14,154,1
462.27,462.73,21,155,1
462.83,463.9,14,156,1
464.3,465.3,20,157,1
466.17,467.67,16,158,1
468.07,473.87,25,159,1
474.13,477.63,16,160,1
477.67,478.2,4,161,1
478.27,479.17,16,162,1
491.67,493.53,9,163,1
499.17,502.93,8,164,1
503.17,503.97,16,165,1
504.1,520.73,8,166,1
521.93,522.3,16,167,1
522.37,523.43,15,168,1
523.47,524.07,23,169,1
524.2,535.23,15,170,1
538.47,539.57,15,171,1
546.9,547.77,15,173,1
555.67,556.33,15,175,1
560.27,563.27,1,176,1
571.67,572.13,4,178,1
572.2,572.93,23,179,1
573.13,575.13,15,180,1
575.2,575.57,4,181,1
575.63,576.23,23,182,1
576.3,576.8,24,183,1
