#more(on1;_on2;_2)_&_less(on1;_on2;_5),/multi-lib/demo_results/extract_pairs_files/case1/cevent_eye_roi_parent.csv,,,,,
#onset,offset,cat,index,trialid
30.167,30.733,18,1,1
30.8,31.167,24,2,1
31.2,44.6,20,3,1
50.9,53.667,20,4,1
53.733,56.933,25,5,1
58.233,58.567,20,6,1
58.767,59.733,18,7,1
59.8,60.567,20,8,1
60.833,61.1,10,9,1
62,62.267,10,10,1
62.333,62.833,18,11,1
62.867,64.067,10,12,1
64.133,64.433,23,13,1
64.767,67.633,6,14,1
67.733,70.533,10,15,1
70.8,71.133,6,16,1
71.2,71.9,23,17,1
71.967,73.133,6,18,1
73.533,75.333,10,19,1
75.967,76.833,6,20,1
76.933,77.267,10,21,1
77.967,78.3,10,22,1
78.433,78.967,6,23,1
80.567,81.733,10,24,1
82.167,82.6,2,25,1
83.067,83.3,10,26,1
83.967,86.1,18,27,1
86.133,86.533,10,28,1
86.6,87.1,15,29,1
87.633,88,6,30,1
88.067,88.633,10,31,1
89.4,89.8,2,32,1
89.967,91.033,10,33,1
91.367,92.567,6,34,1
92.667,93.1,24,35,1
93.167,93.867,10,36,1
94.933,95.233,10,37,1
95.3,95.8,25,38,1
95.867,96.467,6,39,1
97.233,98,2,40,1
98.067,98.333,23,41,1
98.4,98.7,6,42,1
98.733,99.7,23,43,1
100.67,101.03,7,45,1
101.13,101.5,23,46,1
101.6,102.03,15,47,1
102.47,102.77,9,48,1
103.8,104.2,5,49,1
104.33,106.4,23,50,1
107,108.43,23,51,1
108.53,108.9,15,52,1
108.93,109.17,13,53,1
109.2,109.7,7,54,1
109.77,110.47,2,55,1
110.57,116.77,15,56,1
116.8,117.17,11,57,1
117.23,117.5,15,58,1
118.7,119.1,15,59,1
120.2,121.03,15,60,1
121.1,121.6,25,61,1
122.83,129.4,15,62,1
129.5,130.17,25,63,1
130.3,130.63,15,64,1
130.73,131.43,25,65,1
131.73,132.27,15,66,1
132.63,134.27,25,67,1
134.83,135.5,25,68,1
135.63,135.9,15,69,1
136.43,136.7,25,70,1
136.8,138.6,15,71,1
139.73,140.37,15,72,1
142.47,142.7,24,73,1
142.73,143.2,2,74,1
143.23,143.7,24,75,1
144.47,145.4,2,76,1
146.97,147.67,13,77,1
147.77,148.83,10,78,1
149.07,150.17,13,79,1
151.2,151.5,15,80,1
151.63,152,13,81,1
152.5,153.5,3,82,1
153.57,153.87,18,83,1
154.2,155.27,13,84,1
155.6,156,3,85,1
156.03,156.27,13,86,1
156.43,168.53,20,87,1
171,171.23,20,88,1
171.53,171.8,6,89,1
174.17,177.73,20,90,1
179.8,180.67,20,91,1
180.8,183.67,15,92,1
183.7,184.17,23,93,1
184.5,184.77,15,94,1
184.83,185.1,2,95,1
185.17,185.63,10,96,1
185.77,186.7,18,97,1
186.8,187.47,23,98,1
187.57,188.87,18,99,1
188.9,189.63,14,100,1
189.7,189.93,13,101,1
190,190.8,15,102,1
191,191.3,18,103,1
191.33,191.57,2,104,1
192.17,192.8,19,105,1
192.87,193.9,11,106,1
194,196.27,2,107,1
198.07,200.67,14,108,1
203.23,203.47,14,109,1
204.33,205.2,14,110,1
206.6,207.13,15,111,1
207.27,207.53,14,112,1
207.9,208.2,7,113,1
208.27,209,16,114,1
211.07,220.07,18,115,1
220.7,221.3,15,116,1
221.4,222.8,18,117,1
223.8,227.1,18,118,1
227.2,228.43,10,119,1
228.53,228.77,17,120,1
228.8,230.17,22,121,1
230.33,231.83,24,122,1
231.97,234.97,15,123,1
235.03,235.93,9,124,1
236.33,236.57,7,125,1
236.7,237.23,19,126,1
237.27,237.93,21,127,1
238,238.33,17,128,1
238.47,238.77,11,129,1
241.4,243.03,17,130,1
243.13,247.23,21,131,1
247.93,249.67,21,132,1
250.2,253.63,21,133,1
253.97,255,25,134,1
255.07,255.9,21,135,1
255.97,257.37,25,136,1
257.43,258.13,21,137,1
258.43,259.83,15,138,1
259.9,260.43,2,139,1
260.47,260.7,7,140,1
260.77,261,16,141,1
261.1,261.57,22,142,1
261.9,262.23,17,143,1
262.27,262.73,22,144,1
262.77,263,11,145,1
263.07,263.8,22,146,1
263.97,264.3,19,147,1
264.4,264.63,22,148,1
264.97,266.17,15,149,1
269.87,270.23,22,150,1
270.47,270.77,17,151,1
271.4,271.73,18,152,1
271.83,272.57,13,153,1
272.73,273.77,9,154,1
274.67,275.03,21,155,1
275.27,275.53,18,156,1
275.6,276.73,10,157,1
276.8,280.9,8,158,1
281.43,282.03,8,159,1
282.4,282.9,2,160,1
283.43,283.77,24,161,1
283.87,284.27,22,162,1
284.67,286.7,17,163,1
287.3,287.73,24,164,1
288.27,290.23,17,165,1
290.3,290.67,22,166,1
291.43,292.13,15,167,1
292.47,292.7,3,168,1
292.97,293.97,17,169,1
294.17,294.4,22,170,1
294.47,294.8,21,171,1
294.97,295.37,13,172,1
296.1,296.63,17,173,1
298.53,299.23,17,174,1
299.43,300.73,8,175,1
300.8,303.17,24,176,1
303.9,305.6,24,177,1
305.8,308.07,8,178,1
310.27,310.57,8,179,1
311.73,312.4,15,180,1
312.8,312.83,8,181,1
313.13,314.53,17,182,1
314.73,316.2,24,183,1
316.57,317.33,17,184,1
317.43,318.7,25,185,1
318.83,321.87,22,186,1
321.97,322.47,25,187,1
322.57,322.97,22,188,1
323.07,323.47,25,189,1
324.03,324.33,22,190,1
324.43,326.73,25,191,1
327.97,328.6,25,192,1
330.1,330.43,8,193,1
331.87,334.37,22,194,1
334.9,335.23,17,195,1
335.83,336.23,17,196,1
336.97,337.7,15,197,1
337.77,338.53,8,198,1
338.63,339,22,199,1
339.03,340.57,3,200,1
340.63,340.93,22,201,1
341.07,341.33,24,202,1
341.37,341.8,22,203,1
342.43,344.37,25,204,1
345.73,346,17,205,1
346.6,347.1,25,206,1
347.33,347.37,17,207,1
347.63,348.03,22,208,1
348.1,348.57,23,209,1
350.2,350.97,22,210,1
351.63,352.23,8,211,1
352.67,354.07,24,212,1
354.77,355.13,22,213,1
356.7,357.07,17,214,1
357.13,357.53,11,215,1
357.93,359.7,15,216,1
360.17,361.03,17,217,1
361.83,362.83,17,218,1
363,363.23,20,219,1
363.37,364.27,25,220,1
364.87,365.13,20,221,1
365.63,365.97,15,222,1
367.17,369.03,25,223,1
371.77,374.67,9,224,1
374.73,375.07,18,225,1
375.1,376.23,9,226,1
376.97,377.27,17,227,1
377.43,377.7,18,228,1
377.93,380.6,2,229,1
380.73,381.37,17,230,1
382,382.3,8,231,1
383.07,384,17,232,1
384.57,385.03,2,233,1
385.47,386.9,9,234,1
387.67,388.57,9,235,1
388.73,389.37,2,236,1
389.97,390.37,9,237,1
390.53,392.6,2,238,1
392.67,393.43,15,239,1
393.47,393.7,22,240,1
393.77,395.53,5,241,1
395.6,395.87,13,242,1
396.3,397.7,5,243,1
397.87,398.23,9,244,1
398.4,399.27,2,245,1
399.43,400.97,5,246,1
401.9,405.27,5,247,1
405.3,406.03,3,248,1
407.3,409.13,2,249,1
411.23,411.97,14,251,1
412.23,412.53,9,252,1
412.83,413.17,2,253,1
413.97,415.23,14,254,1
415.43,416.4,2,255,1
416.43,416.73,9,256,1
417.07,422.03,2,257,1
422.57,424.1,9,258,1
427.07,427.4,9,259,1
427.47,429.17,14,260,1
431.73,434.2,14,261,1
434.7,436.27,13,262,1
436.33,438.57,8,263,1
438.7,439.1,25,264,1
439.37,441.97,20,265,1
442,446.97,14,266,1
447.3,447.97,5,267,1
448,448.43,3,268,1
448.77,449.57,13,269,1
451.5,451.93,8,270,1
455.17,455.5,14,271,1
456.17,456.53,14,272,1
457.6,457.87,14,273,1
460.4,461.03,25,274,1
461.4,461.77,14,275,1
462.13,462.63,2,276,1
462.77,463.03,9,277,1
463.17,463.6,25,278,1
463.77,464.27,14,279,1
464.3,464.63,8,280,1
464.77,465.63,2,281,1
466.3,466.9,16,282,1
467.07,467.37,25,283,1
467.47,467.87,16,284,1
469.13,473.77,25,285,1
474.13,475.8,16,286,1
475.93,476.37,25,287,1
476.43,478.8,16,288,1
478.83,482.43,25,289,1
483.3,483.77,25,290,1
483.8,484.07,16,291,1
484.1,489.67,25,292,1
490.1,492.83,16,293,1
493.37,497.77,16,294,1
499.37,499.8,22,295,1
500.6,508.7,8,296,1
510.67,521.1,8,297,1
521.7,522.9,8,298,1
523.53,523.87,15,299,1
524.73,524.97,15,300,1
