#less(on1;_on2;_2),cevent_inhand_child,,,,cevent_eye_roi_child,,,,,
#subid,onset,offset,cat,index,onset,offset,cat,index,trialid,pairid
7106,59.767,61.5,2,5,60.1,60.7,2,9,1,1
7106,68.533,68.767,1,9,69.5,69.767,1,12,1,1
7106,68.833,69.533,1,10,69.5,69.767,1,12,1,1
7106,72.133,75.9,2,13,72.967,76.333,2,16,1,1
7106,74.533,76.667,2,14,76.433,76.6,2,17,1,1
7106,78.7,78.867,3,15,80.167,80.9,3,20,1,1
7106,94.267,101.17,2,19,94.5,95.833,2,24,1,1
7106,104.7,105.8,1,23,105.83,105.93,1,27,1,1
7106,104.7,105.8,1,23,106.1,111.43,1,28,1,1
7106,135.73,137.63,3,34,137.37,137.77,3,34,2,1
7106,137.47,140.07,3,35,137.93,140.33,3,35,2,1
7106,158.53,161.73,2,40,159.53,161.2,2,50,2,1
7106,165.47,165.7,2,43,165.57,166.43,2,52,2,1
7106,170.67,182.07,1,48,172.57,173.7,1,54,2,1
7106,196.83,197.1,1,53,196.97,206.27,1,66,2,1
7106,212.73,213.73,1,56,214.43,217.13,1,68,2,1
7106,217.4,217.47,3,57,218.27,219.9,3,70,2,1
7106,218.03,218.1,2,58,219.97,220.37,2,71,2,1
7106,220.83,220.93,3,59,222.03,222.5,4,76,2,2
7106,220.97,221.3,1,60,221.13,221.7,1,74,2,1
7106,220.97,221.3,1,60,221.87,222,1,75,2,1
7106,220.97,221.3,1,60,222.03,222.5,4,76,2,2
7106,220.97,221.3,1,60,222.57,227.33,1,77,2,1
7106,222.43,224.83,1,61,222.57,227.33,1,77,2,1
7106,258.53,259.37,1,69,260.17,260.4,1,80,3,1
7106,280.73,281.07,2,73,281.5,281.6,2,84,3,1
7106,280.73,281.07,2,73,281.9,282.17,2,85,3,1
7106,280.73,281.07,2,73,282.37,283.47,2,86,3,1
7106,382.07,389.1,3,81,382.93,384.07,3,113,4,1
7107,36.533,36.633,3,4,36.533,38.433,3,10,1,1
