#less(on1;_on2;_2),cevent_eye_roi_child,,,,,
#subid,onset,offset,cat,index,trialid
7106,30,41.133,3,1,1
7106,41.167,44.133,3,2,1
7106,44.533,47.433,2,3,1
7106,47.467,47.8,1,4,1
7106,47.833,57.5,2,5,1
7106,57.533,58.133,3,6,1
7106,58.167,58.233,2,7,1
7106,58.3,59.8,3,8,1
7106,60.833,63.633,3,10,1
7106,63.733,69.067,1,11,1
7106,69.967,71.667,3,13,1
7106,71.667,72.333,2,14,1
7106,72.5,72.933,1,15,1
7106,76.967,78.8,3,18,1
7106,78.867,79.167,2,19,1
7106,81.3,88.367,3,21,1
7106,88.4,90,2,22,1
7106,91.367,92.4,4,23,1
7106,96.033,103.93,1,25,1
7106,104.03,105.7,1,26,1
7106,111.53,112.4,1,29,1
7106,112.53,113,1,30,1
7106,113.03,117.1,2,31,1
7106,117.23,117.63,2,32,1
7106,135.67,137.27,3,33,2
7106,140.43,140.7,3,36,2
7106,140.77,141.27,3,37,2
7106,141.4,141.83,2,38,2
7106,141.87,142.3,2,39,2
7106,142.77,142.9,3,40,2
7106,143.67,143.8,3,41,2
7106,144.1,149.63,3,42,2
7106,149.77,150.13,2,43,2
7106,150.17,152.6,4,44,2
7106,152.8,153.1,1,45,2
7106,153.27,154.3,3,46,2
7106,154.37,154.73,2,47,2
7106,154.83,155.7,1,48,2
7106,155.73,159.3,2,49,2
7106,161.27,163.2,2,51,2
7106,166.5,172.5,1,53,2
7106,173.73,174.4,1,55,2
7106,176,178.67,4,56,2
7106,178.9,182.37,4,57,2
7106,182.7,187.1,3,58,2
7106,187.53,190.23,4,59,2
7106,190.27,190.33,2,60,2
7106,190.33,190.37,3,61,2
7106,190.37,190.53,2,62,2
7106,190.7,191.17,4,63,2
7106,191.3,191.73,1,64,2
7106,191.8,196.77,1,65,2
7106,208.93,213.43,1,67,2
7106,217.23,218.13,4,69,2
7106,220.43,220.63,3,72,2
7106,220.67,221.1,2,73,2
7106,244.33,253.77,3,78,3
7106,255.8,259.83,1,79,3
7106,266.33,266.53,2,81,3
7106,266.57,274.03,1,82,3
7106,274.07,281.37,2,83,3
7106,283.63,283.8,2,87,3
7106,284.77,284.83,2,88,3
7106,293.4,296.7,4,89,3
7106,296.83,297.47,2,90,3
7106,297.63,297.83,4,91,3
7106,297.97,300,4,92,3
7106,300.33,305.9,3,93,3
7106,306,310.3,3,94,3
7106,310.5,315.73,1,95,3
7106,315.93,317.13,1,96,3
7106,321.93,322.9,4,97,3
7106,323.1,324.93,4,98,3
7106,325.97,327.13,2,99,3
7106,327.23,331.8,2,100,3
7106,331.83,332.8,4,101,3
7106,332.9,333.53,4,102,3
7106,333.7,336.03,2,103,3
7106,359.43,364.07,2,104,4
7106,364.6,365.1,1,105,4
7106,366.67,366.83,2,106,4
7106,367,370.6,4,107,4
7106,370.67,371.93,2,108,4
7106,372,375.83,4,109,4
7106,375.9,376.8,2,110,4
7106,376.83,378.77,3,111,4
7106,380.17,382.83,3,112,4
7106,384.3,384.37,2,114,4
7106,384.37,384.6,3,115,4
7106,384.6,384.83,2,116,4
7106,384.83,384.97,3,117,4
7106,385.2,385.37,2,118,4
7106,385.4,385.63,3,119,4
7106,385.87,386,2,120,4
7106,386,386.17,3,121,4
7106,386.23,387.23,2,122,4
7106,387.23,387.7,3,123,4
7106,387.7,388.13,2,124,4
7106,388.13,389.13,3,125,4
7106,389.73,390.97,3,126,4
7106,391.07,391.87,4,127,4
7106,392.07,392.63,1,128,4
7106,392.8,397.83,4,129,4
7106,397.9,398.5,2,130,4
7106,398.83,399.33,1,131,4
7106,400.57,403.77,1,132,4
7106,403.8,404.83,3,133,4
7106,404.87,413.07,1,134,4
7106,413.2,415.23,3,135,4
7106,415.47,415.83,2,136,4
7106,415.97,416.6,4,137,4
7106,416.7,421.57,2,138,4
7106,424.53,427.07,2,139,4
7106,427.13,428.8,1,140,4
7106,429.1,429.8,3,141,4
7106,430.37,430.63,1,142,4
7106,430.67,431.7,2,143,4
7106,431.73,432.17,1,144,4
7106,432.23,433.47,4,145,4
7106,433.47,433.6,3,146,4
7106,433.8,437.17,4,147,4
7106,441.27,442.07,1,148,4
7106,442.1,442.57,3,149,4
7106,442.67,442.93,1,150,4
7107,30,30.567,2,1,1
7107,30.6,31.2,3,2,1
7107,31.233,31.5,2,3,1
7107,31.533,33.5,3,4,1
7107,33.533,34.2,2,5,1
7107,34.233,34.633,4,6,1
7107,34.667,35.4,2,7,1
7107,35.5,35.6,3,8,1
7107,35.8,36.233,1,9,1
7107,38.733,39.5,1,11,1
7107,39.667,41.067,3,12,1
7107,42.133,43.067,1,14,1
7107,43.2,45.067,4,15,1
7107,45.167,46.033,3,16,1
7107,46.167,47.433,4,17,1
7107,47.467,48.3,2,18,1
7107,48.4,48.6,3,19,1
7107,48.633,52.467,2,20,1
7107,55.833,57.567,4,21,1
7107,59.967,60.3,3,22,1
7107,60.333,61.267,4,23,1
7107,61.267,61.9,3,24,1
7107,61.9,62.067,4,25,1
7107,64.933,65.633,4,26,1
7107,69.033,69.467,4,27,1
7107,73.733,74.2,3,28,1
7107,74.233,74.467,2,29,1
7107,74.8,75.2,2,30,1
7107,75.3,78.967,1,31,1
7107,82.433,83.7,3,32,1
7107,83.7,84.433,1,33,1
7107,84.433,85.767,3,34,1
7107,85.833,87,4,35,1
7107,87.067,91.533,1,36,1
7107,91.6,95,2,37,1
7107,97.667,98,2,39,1
7107,98.033,99.3,1,40,1
7107,99.333,99.7,2,41,1
7107,99.733,101.37,2,42,1
7107,101.57,101.97,3,43,1
7107,102.07,102.73,3,44,1
7107,102.87,104,4,45,1
7107,104.03,107.57,3,46,1
7107,107.9,108.13,3,47,1
7107,108.17,108.4,4,48,1
7107,108.43,109.33,3,49,1
7107,109.37,113.07,1,50,1
7107,113.93,114.53,3,52,1
7107,114.8,115.13,2,53,1
7107,115.2,117.93,3,54,1
7107,118,119.4,1,55,1
7107,139.17,141.4,2,56,2
7107,141.5,142.63,1,57,2
7107,145.3,146.33,1,58,2
7107,149.73,150.27,2,59,2
7107,150.7,151.3,1,60,2
7107,152.53,154.03,1,61,2
7107,155.27,155.97,1,62,2
7107,156.3,156.57,2,63,2
7107,156.7,157.83,2,64,2
7107,157.97,158.1,3,65,2
7107,160.23,161.07,1,66,2
7107,163.37,165,1,67,2
7107,167.33,168.57,1,68,2
7107,168.6,169.13,4,69,2
7107,169.37,169.6,1,70,2
7107,174.3,175.4,4,71,2
7107,177.1,177.7,4,72,2
7107,177.73,191.27,3,73,2
7107,191.3,192.27,4,74,2
7107,192.3,192.7,3,75,2
7107,192.77,193.1,3,76,2
7107,193.27,195.43,2,77,2
7107,197.13,198.07,4,78,2
7107,198.17,198.67,1,79,2
7107,198.73,199.63,3,80,2
7107,199.67,200.13,4,81,2
7107,200.2,201.17,2,82,2
7107,201.43,205.37,3,83,2
7107,205.4,205.9,4,84,2
7107,242.4,243.4,1,87,3
7107,247.83,248.3,3,88,3
7107,248.33,249.07,2,89,3
7107,251.97,253.23,1,90,3
7107,256.37,259.67,1,91,3
7107,259.7,260.9,2,92,3
7107,261.9,265.43,2,93,3
7107,267.93,269.27,2,94,3
7107,269.83,270.77,3,95,3
7107,273.1,273.8,2,96,3
7107,276.3,278.43,2,97,3
7107,280.03,287.9,3,98,3
7107,288.57,289,1,99,3
7107,289.1,293.37,3,100,3
7107,293.53,294.6,4,101,3
7107,294.63,310.2,3,102,3
7107,312.83,313.77,3,104,3
7107,313.8,314.53,2,105,3
7107,314.57,317,3,106,3
7107,317.07,318.6,1,107,3
7107,320.93,322.07,2,108,3
7107,324.63,325.53,1,109,3
7107,327.4,333.03,1,110,3
7107,351.33,352.6,4,112,4
7107,352.6,359.47,3,113,4
7107,359.5,359.87,1,114,4
7107,369.7,371.3,3,116,4
7107,373.1,379.97,3,117,4
7107,380.03,380.97,1,118,4
7107,381.9,384.13,3,120,4
7107,391.53,392.4,3,122,4
7107,395.7,396.6,1,123,4
7107,396.6,397.17,3,124,4
7107,397.5,404.5,1,125,4
7107,409.33,412,2,127,4
7107,412.03,412.7,4,128,4
7107,412.8,414.37,1,129,4
7107,418.53,418.93,1,130,4
7107,419.33,419.8,1,131,4
7107,421.67,423.17,1,132,4
7107,423.2,423.73,4,133,4
7107,425.73,427.43,1,134,4
7107,428.13,428.6,1,136,4
7107,428.6,429.07,2,137,4
7107,429.13,429.6,1,138,4
7107,431.13,432.1,4,139,4
7107,432.2,432.23,4,140,4
7107,432.23,435,2,141,4
7107,438.6,438.8,2,142,4
7108,30,33.4,3,1,1
7108,36.333,36.967,3,2,1
7108,37.333,44.6,1,3,1
7108,44.633,47.7,2,4,1
7108,47.733,48.033,3,5,1
7108,48.367,49.067,1,6,1
7108,49.1,50.433,3,7,1
7108,50.433,51.633,2,8,1
7108,51.633,52.067,1,9,1
7108,52.867,53.5,1,11,1
7108,53.5,55.7,2,12,1
7108,56.167,61.133,1,13,1
7108,61.133,61.3,3,14,1
7108,61.667,67,3,15,1
7108,67.067,68.533,4,16,1
7108,73.7,75.867,4,18,1
7108,75.933,77,1,19,1
7108,79.233,82.033,1,21,1
7108,85.8,88.033,2,24,1
7108,88.033,88.567,3,25,1
7108,88.567,92.533,2,26,1
7108,92.533,92.6,3,27,1
