#less(on1;_on2;_2)_&_less(off2;_off1;_3),cevent_inhand_child,,,,cevent_eye_roi_child,,,,,
#subid,onset,offset,cat,index,onset,offset,cat,index,trialid,pairid
7106,59.767,61.5,2,5,60.1,60.7,2,9,1,1
7106,74.533,76.667,2,14,76.433,76.6,2,17,1,1
7106,158.53,161.73,2,40,159.53,161.2,2,50,2,1
7107,93.467,100.37,2,12,95.067,97.633,4,38,1,2
7107,112.3,115.47,1,15,113.13,113.83,4,51,1,2
7107,310.3,313.7,3,53,311.4,311.53,3,103,3,1
7108,68.767,75.867,3,14,69.367,73.667,3,17,1,1
7108,76.933,80.133,2,16,77,78.167,2,20,1,1
7108,110.5,112.57,1,26,110.73,111.73,4,35,1,2
7108,110.5,112.57,1,26,112.2,112.47,1,37,1,1
7108,145.67,149.3,2,34,146.17,146.73,4,45,2,2
7108,145.67,149.3,2,34,146.8,146.97,2,46,2,1
7108,145.67,149.3,2,34,147.47,148.4,4,47,2,2
7108,219.27,225.43,2,45,220.37,222.5,4,77,2,2
7108,282.77,286.37,3,55,284.53,286.37,3,94,3,1
7108,329.77,335.07,3,71,330.67,332.1,4,116,3,2
7108,331.87,335.07,3,72,332.53,335.07,3,117,3,1
7108,363.87,366.27,3,74,365.7,366.13,3,127,4,1
7108,378.4,382.93,1,75,380.27,380.43,1,137,4,1
