#binedges,7202,7203,7206,7207,7208,7209,7211,7213,7215,7216,7220,7221,7222,7223,7225,7227,7229,7231,7233,7234,7236,7238,7239,7240,7242,all,
0,15350,19678,12880,18898,12915,14823,12007,13046,4492,7898,9464,11247,12532,14799,10838,8678,11872,11798,17090,5801,13815,10116,13003,13587,6374,3.03e+05
50,2613,1343,3437,1939,3859,4352,3639,4316,2472,1559,2227,2711,2349,3785,3160,4002,3874,3613,2290,2118,4330,3652,2190,3677,2735,76242
100,1253,624,1831,996,2191,1768,2244,2130,1319,818,1255,1410,1107,1898,1813,2282,1981,2149,1156,1169,2073,2246,1091,2038,1804,40646
150,741,390,1176,521,1427,1079,1504,1291,1006,451,757,935,594,1011,1179,1580,1080,1421,763,657,1223,1416,706,1111,1234,25253
200,490,322,910,341,1110,598,955,785,617,377,555,581,343,457,781,1121,758,1009,563,489,776,1002,491,636,887,16954
250,296,247,593,195,764,456,747,366,489,278,379,422,239,302,568,762,572,677,438,347,436,789,341,379,622,11704
300,184,191,477,155,535,348,469,251,348,232,315,333,213,218,428,510,429,566,257,230,285,583,265,284,497,8603
350,117,144,348,115,375,218,344,154,220,195,209,280,192,156,290,404,307,427,205,150,195,491,209,163,430,6338
400,82,118,305,83,306,150,213,115,158,165,163,197,120,69,260,337,227,331,146,86,113,383,160,110,352,4749
450,83,103,247,34,216,120,128,86,104,118,114,143,130,40,89,322,188,255,96,29,64,246,146,77,296,3474
500,223,164,740,97,448,638,374,264,243,471,290,525,589,203,102,2166,666,996,458,110,98,1492,824,238,1547,13966
